ma_can,dia_chi,quan,gia_thue_vnd,dien_tich_m2,tien_ich_xung_quanh
777417ce-a8ca-4b4f-b110-61c395a193fc,761E Sài Đồng,Long Biên,13500000,94,Trường học; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Rạp chiếu phim
69e7c3c5-a39e-4a7f-94b6-6f9b6effa9ad,622B Mộ Lao,Hà Đông,9000000,69,Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Trung tâm thương mại
e54d9910-b14e-4887-a018-1377e68c7583,300C Cổ Nhuế,Bắc Từ Liêm,5900000,58,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Khu vui chơi trẻ em; Trung tâm thương mại; Rạp chiếu phim
051f0e6c-246e-4e7a-8ad6-5d74c529f9ad,333D Dịch Vọng Hậu,Cầu Giấy,13400000,79,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bãi đỗ xe ô tô; Phòng gym; Bể bơi; Sân tennis
67d217ec-5b68-4138-81a5-d6f19b328745,970D Tây Sơn,Đống Đa,8900000,110,Chợ dân sinh; Trường học; Siêu thị; Công viên; Bãi đỗ xe ô tô; Phòng gym
dbb21db6-355e-4c24-9e94-53004ae7fb5e,384B Lý Thường Kiệt,Hoàn Kiếm,3800000,99,Chợ dân sinh; Trường học; Siêu thị; Công viên
ed226498-87ce-458d-b108-195f35aee064,938C Phạm Hùng,Nam Từ Liêm,11000000,64,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Sân tennis
04100068-b40b-4511-8ab0-9a6aa08ff57e,983C Mộ Lao,Hà Đông,7400000,72,Trường học; Bến xe buýt; Công viên; Sân tennis
6d2368dd-c8f0-4109-903c-ee28fa97c882,523A Nguyễn Tuân,Thanh Xuân,11700000,135,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô
09fcbe41-7dfe-4bd4-a99e-90066bbe69fa,354E Mộ Lao,Hà Đông,1300000,20,Siêu thị
e4b33d9d-a002-4e89-a675-72e6fab929de,629A Giáp Bát,Hoàng Mai,10700000,90,Trường học; Bến xe buýt; Phòng gym; Khu vui chơi trẻ em; Rạp chiếu phim
e0bcf95f-a36f-4964-aacc-578926d4a1a6,102C Linh Đàm,Hoàng Mai,6600000,35,Bến xe buýt; Phòng gym
3eabf996-f5e0-40c5-8de3-f9551fcf4e5d,134C Kim Ngưu,Hai Bà Trưng,5900000,84,Trường học; Siêu thị; Bãi đỗ xe ô tô; Bể bơi; Rạp chiếu phim
5255e0c2-2ee9-478b-b73f-9097d5ac2abd,147A Nguyễn Tuân,Thanh Xuân,2400000,20,Chợ dân sinh; Trường học; Bến xe buýt; Công viên
9adfbd7d-70f3-4d2f-8d24-d9ab42eac961,724A Giáp Bát,Hoàng Mai,5700000,95,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô
ac0ddd00-74b5-44a7-a48d-8d8aa07f3e31,481D Xuân Thủy,Cầu Giấy,7600000,131,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em
bf1aa539-663d-44bb-99ea-e18dafee294d,74A Đội Cấn,Ba Đình,11000000,143,Trường học; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Bãi đỗ xe ô tô; Trung tâm thương mại; Rạp chiếu phim
26498ca9-41bf-4f3d-a370-251dc831ebeb,445C Văn Quán,Hà Đông,3100000,20,Chợ dân sinh; Siêu thị; Bến xe buýt; Công viên; Bệnh viện
6253bc73-daa8-4851-a33f-e1ba0ed357a8,748B Giáp Bát,Hoàng Mai,10300000,84,Trường học; Siêu thị; Công viên; Bệnh viện; Khu vui chơi trẻ em
2031480e-bf4c-4fc2-913c-ee88d3a2e822,971D Phạm Hùng,Nam Từ Liêm,3300000,34,Chợ dân sinh; Trường học; Bến xe buýt; Rạp chiếu phim; Sân tennis
4586a819-04fe-49aa-a608-ab862f4cf2d2,96D Đông Ngạc,Bắc Từ Liêm,4700000,20,Chợ dân sinh; Phòng gym
50238ac6-ac7a-47bb-b5b7-ae8bf304ff3e,973A Liễu Giai,Ba Đình,6200000,38,Siêu thị; Bến xe buýt; Công viên; Khu vui chơi trẻ em
701e8785-b643-4ca7-9f5f-77c3ad3fc607,893D Đông Ngạc,Bắc Từ Liêm,3200000,20,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Phòng gym; Bể bơi
de66a363-2cf8-46ae-8f9b-f143c325a6c3,523C Tây Sơn,Đống Đa,10600000,121,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Bể bơi
7e26b3ed-1e7d-4c8b-b018-1cf671319774,956D Âu Cơ,Tây Hồ,11800000,115,Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Bể bơi
fb2f32b1-4cb8-4d24-8548-852fa5d15821,574E Lê Đức Thọ,Nam Từ Liêm,5900000,46,Chợ dân sinh; Trường học; Bến xe buýt
0f106404-88b4-4cae-bea6-558414b06787,583A Xuân Diệu,Tây Hồ,10600000,63,Chợ dân sinh; Trường học; Siêu thị; Bến xe buýt; Bệnh viện; Khu vui chơi trẻ em; Rạp chiếu phim; Sân tennis
d79b2af7-bc40-43be-97f1-26576c07b537,883B Phạm Hùng,Nam Từ Liêm,8100000,117,Chợ dân sinh; Trường học; Bến xe buýt; Công viên; Khu vui chơi trẻ em
148282a5-5d1d-46d9-8cce-695de5dc49ca,100A Đại Mỗ,Nam Từ Liêm,4900000,62,Siêu thị; Công viên
279237a1-6f08-4f51-a449-3c90ae6ef81c,883B Sài Đồng,Long Biên,6900000,62,Bến xe buýt; Công viên
3d7e5368-218a-4022-8d9e-bdc28d32b49d,997E Khương Trung,Thanh Xuân,3100000,22,Chợ dân sinh; Bến xe buýt; Bãi đỗ xe ô tô; Bể bơi
66a5d235-74c8-4c54-a2e8-e6c37c523ee4,692E Đông Ngạc,Bắc Từ Liêm,9000000,53,Trường học; Siêu thị; Bến xe buýt; Công viên; Bệnh viện; Trung tâm thương mại; Rạp chiếu phim; Sân tennis
b3fe2ede-5a50-44ba-80db-91adfc8ae2f0,732E Quang Trung,Hà Đông,14500000,134,Trường học; Bến xe buýt; Bệnh viện; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi
422a4423-0452-42b9-b10e-776046a3fe07,301C Việt Hưng,Long Biên,7400000,58,Trường học; Siêu thị; Bến xe buýt; Bãi đỗ xe ô tô; Bể bơi
4b143c0d-764d-4fe9-8d23-b75eab32f4cd,427E Mỹ Đình,Nam Từ Liêm,2600000,88,Chợ dân sinh; Trường học; Bến xe buýt
242660e1-e538-45ea-8827-b66d9bb13cce,42C Cổ Nhuế,Bắc Từ Liêm,9900000,82,Chợ dân sinh; Công viên; Bãi đỗ xe ô tô; Khu vui chơi trẻ em
412b50de-4be8-4ce9-abf3-02b3bfed405a,179B Trần Hưng Đạo,Hoàn Kiếm,17600000,156,Chợ dân sinh; Siêu thị; Bến xe buýt; Bệnh viện; Bãi đỗ xe ô tô; Khu vui chơi trẻ em; Trung tâm thương mại; Rạp chiếu phim; Sân tennis
0c5cabe5-600c-4dff-826b-8eb7e4e99e28,587B Định Công,Hoàng Mai,4600000,71,Trường học; Bến xe buýt; Bệnh viện
9e78a05b-93d2-4744-a5e7-6129f611dc00,975B Tây Sơn,Đống Đa,12700000,118,Chợ dân sinh; Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại; Bể bơi; Rạp chiếu phim
5333238b-99d0-42bc-a221-121b28f6c284,397C Tây Sơn,Đống Đa,8500000,55,Chợ dân sinh; Trường học; Bến xe buýt; Bệnh viện; Phòng gym; Khu vui chơi trẻ em; Trung tâm thương mại
34f60b22-fafd-4503-96ac-6ca2ca8a0481,597D Mộ Lao,Hà Đông,6500000,69,Bến xe buýt; Bãi đỗ xe ô tô; Phòng gym
71cd8a85-d2af-4778-8e39-94cbb1d65557,403D Nguyễn Tuân,Thanh Xuân,8700000,36,Chợ dân sinh; Bến xe buýt; Bệnh viện; Sân tennis
